symbol,name,per,pbr,roe_pct,profit_metric,profit_yoy_pct,profit_cagr_3period_pct,revenue_yoy_pct,revenue_cagr_3period_pct,source,as_of,limitations
8766.T,東京海上HD,,,,,,,,,local_readonly:kabu_publish\199_universe100_screening.csv,2026-07-07,snapshot only; not usable as historical point-in-time data
6920.T,レーザーテック,,,,,,,,,local_readonly:kabu_publish\199_universe100_screening.csv,2026-07-07,snapshot only; not usable as historical point-in-time data
8316.T,三井住友FG,,,,,,,,,local_readonly:kabu_publish\199_universe100_screening.csv,2026-07-07,snapshot only; not usable as historical point-in-time data
7012.T,川崎重工業,,,,,,,,,local_readonly:kabu_publish\199_universe100_screening.csv,2026-07-07,snapshot only; not usable as historical point-in-time data
5803.T,フジクラ,,,,,,,,,local_readonly:kabu_publish\199_universe100_screening.csv,2026-07-07,snapshot only; not usable as historical point-in-time data
5801.T,古河電工,,,,,,,,,local_readonly:kabu_publish\199_universe100_screening.csv,2026-07-07,snapshot only; not usable as historical point-in-time data
8411.T,みずほFG,,,,,,,,,local_readonly:kabu_publish\199_universe100_screening.csv,2026-07-07,snapshot only; not usable as historical point-in-time data
7735.T,SCREEN HD,,,,,,,,,local_readonly:kabu_publish\199_universe100_screening.csv,2026-07-07,snapshot only; not usable as historical point-in-time data
6762.T,TDK,,,,,,,,,local_readonly:kabu_publish\199_universe100_screening.csv,2026-07-07,snapshot only; not usable as historical point-in-time data
9984.T,ソフトバンクG,,,,,,,,,local_readonly:kabu_publish\199_universe100_screening.csv,2026-07-07,snapshot only; not usable as historical point-in-time data
8306.T,三菱UFJ FG,,,,,,,,,local_readonly:kabu_publish\199_universe100_screening.csv,2026-07-07,snapshot only; not usable as historical point-in-time data
5802.T,住友電工,,,,,,,,,local_readonly:kabu_publish\199_universe100_screening.csv,2026-07-07,snapshot only; not usable as historical point-in-time data
8750.T,第一生命HD,,,,,,,,,local_readonly:kabu_publish\199_universe100_screening.csv,2026-07-07,snapshot only; not usable as historical point-in-time data
9983.T,ファーストリテイリング,,,,,,,,,local_readonly:kabu_publish\199_universe100_screening.csv,2026-07-07,snapshot only; not usable as historical point-in-time data
8725.T,MS&AD,,,,,,,,,local_readonly:kabu_publish\199_universe100_screening.csv,2026-07-07,snapshot only; not usable as historical point-in-time data
8035.T,東京エレクトロン,,,,,,,,,local_readonly:kabu_publish\199_universe100_screening.csv,2026-07-07,snapshot only; not usable as historical point-in-time data
6857.T,アドバンテスト,,,,,,,,,local_readonly:kabu_publish\199_universe100_screening.csv,2026-07-07,snapshot only; not usable as historical point-in-time data
6146.T,ディスコ,,,,,,,,,local_readonly:kabu_publish\199_universe100_screening.csv,2026-07-07,snapshot only; not usable as historical point-in-time data
