symbol,name,sector,market_cap,avg_value,source,as_of
8766.T,東京海上HD,保険,15050388000000,45099842168,local_readonly:kabu_publish\199_universe100_screening.csv; original_metric_source=Yahoo Japan snapshot in seed; liquidity_source=Yahoo chart API,2026-07-07
6920.T,レーザーテック,半導体,3623426000000,169178265304,local_readonly:kabu_publish\199_universe100_screening.csv; original_metric_source=Yahoo Japan snapshot in seed; liquidity_source=Yahoo chart API,2026-07-07
8316.T,三井住友FG,銀行,23194639000000,80361982282,local_readonly:kabu_publish\199_universe100_screening.csv; original_metric_source=Yahoo Japan snapshot in seed; liquidity_source=Yahoo chart API,2026-07-07
7012.T,川崎重工業,重工,2386169000000,43708741060,local_readonly:kabu_publish\199_universe100_screening.csv; original_metric_source=Yahoo Japan snapshot in seed; liquidity_source=Yahoo chart API,2026-07-07
5803.T,フジクラ,電線,8107249000000,327962858673,local_readonly:kabu_publish\199_universe100_screening.csv; original_metric_source=Yahoo Japan snapshot in seed; liquidity_source=Yahoo chart API,2026-07-07
5801.T,古河電工,電線,3538999000000,231677767607,local_readonly:kabu_publish\199_universe100_screening.csv; original_metric_source=Yahoo Japan snapshot in seed; liquidity_source=Yahoo chart API,2026-07-07
8411.T,みずほFG,銀行,17952372000000,73969089817,local_readonly:kabu_publish\199_universe100_screening.csv; original_metric_source=Yahoo Japan snapshot in seed; liquidity_source=Yahoo chart API,2026-07-07
7735.T,SCREEN HD,半導体,2068792000000,37589341308,local_readonly:kabu_publish\199_universe100_screening.csv; original_metric_source=Yahoo Japan snapshot in seed; liquidity_source=Yahoo chart API,2026-07-07
6762.T,TDK,電子部品,6152317000000,52854705384,local_readonly:kabu_publish\199_universe100_screening.csv; original_metric_source=Yahoo Japan snapshot in seed; liquidity_source=Yahoo chart API,2026-07-07
9984.T,ソフトバンクG,投資,34493851000000,466570553642,local_readonly:kabu_publish\199_universe100_screening.csv; original_metric_source=Yahoo Japan snapshot in seed; liquidity_source=Yahoo chart API,2026-07-07
8306.T,三菱UFJ FG,銀行,36611888000000,121257666586,local_readonly:kabu_publish\199_universe100_screening.csv; original_metric_source=Yahoo Japan snapshot in seed; liquidity_source=Yahoo chart API,2026-07-07
5802.T,住友電工,電線,8475316000000,79700094098,local_readonly:kabu_publish\199_universe100_screening.csv; original_metric_source=Yahoo Japan snapshot in seed; liquidity_source=Yahoo chart API,2026-07-07
8750.T,第一生命HD,保険,6077540000000,15065116698,local_readonly:kabu_publish\199_universe100_screening.csv; original_metric_source=Yahoo Japan snapshot in seed; liquidity_source=Yahoo chart API,2026-07-07
9983.T,ファーストリテイリング,小売,23478343000000,87566496817,local_readonly:kabu_publish\199_universe100_screening.csv; original_metric_source=Yahoo Japan snapshot in seed; liquidity_source=Yahoo chart API,2026-07-07
8725.T,MS&AD,保険,6583646000000,19433132045,local_readonly:kabu_publish\199_universe100_screening.csv; original_metric_source=Yahoo Japan snapshot in seed; liquidity_source=Yahoo chart API,2026-07-07
8035.T,東京エレクトロン,半導体,22737030000000,232947835567,local_readonly:kabu_publish\199_universe100_screening.csv; original_metric_source=Yahoo Japan snapshot in seed; liquidity_source=Yahoo chart API,2026-07-07
6857.T,アドバンテスト,半導体,19723740000000,265464628600,local_readonly:kabu_publish\199_universe100_screening.csv; original_metric_source=Yahoo Japan snapshot in seed; liquidity_source=Yahoo chart API,2026-07-07
6146.T,ディスコ,半導体,7228976000000,146993799850,local_readonly:kabu_publish\199_universe100_screening.csv; original_metric_source=Yahoo Japan snapshot in seed; liquidity_source=Yahoo chart API,2026-07-07
6098.T,リクルートHD,人材,14186105000000,55001335385,local_readonly:kabu_publish\199_universe100_screening.csv; original_metric_source=Yahoo Japan snapshot in seed; liquidity_source=Yahoo chart API,2026-07-07
6503.T,三菱電機,総合電機,12797549000000,40934692765,local_readonly:kabu_publish\199_universe100_screening.csv; original_metric_source=Yahoo Japan snapshot in seed; liquidity_source=Yahoo chart API,2026-07-07
6981.T,村田製作所,電子部品,13158001000000,228118917542,local_readonly:kabu_publish\199_universe100_screening.csv; original_metric_source=Yahoo Japan snapshot in seed; liquidity_source=Yahoo chart API,2026-07-07
6367.T,ダイキン工業,空調,6948267000000,29872256600,local_readonly:kabu_publish\199_universe100_screening.csv; original_metric_source=Yahoo Japan snapshot in seed; liquidity_source=Yahoo chart API,2026-07-07
9434.T,ソフトバンク,通信,10822481000000,16991597319,local_readonly:kabu_publish\199_universe100_screening.csv; original_metric_source=Yahoo Japan snapshot in seed; liquidity_source=Yahoo chart API,2026-07-07
6971.T,京セラ,電子部品,4464962000000,22925918772,local_readonly:kabu_publish\199_universe100_screening.csv; original_metric_source=Yahoo Japan snapshot in seed; liquidity_source=Yahoo chart API,2026-07-07
6645.T,オムロン,制御機器,1116403000000,9443179462,local_readonly:kabu_publish\199_universe100_screening.csv; original_metric_source=Yahoo Japan snapshot in seed; liquidity_source=Yahoo chart API,2026-07-07
6501.T,日立製作所,総合電機,22968081000000,70200018473,local_readonly:kabu_publish\199_universe100_screening.csv; original_metric_source=Yahoo Japan snapshot in seed; liquidity_source=Yahoo chart API,2026-07-07
6702.T,富士通,IT,5617744000000,31320778440,local_readonly:kabu_publish\199_universe100_screening.csv; original_metric_source=Yahoo Japan snapshot in seed; liquidity_source=Yahoo chart API,2026-07-07
6954.T,ファナック,FA,7556494000000,51165103922,local_readonly:kabu_publish\199_universe100_screening.csv; original_metric_source=Yahoo Japan snapshot in seed; liquidity_source=Yahoo chart API,2026-07-07
6902.T,デンソー,自動車部品,5395501000000,15974603320,local_readonly:kabu_publish\199_universe100_screening.csv; original_metric_source=Yahoo Japan snapshot in seed; liquidity_source=Yahoo chart API,2026-07-07
6861.T,キーエンス,FA,18809682000000,59679627167,local_readonly:kabu_publish\199_universe100_screening.csv; original_metric_source=Yahoo Japan snapshot in seed; liquidity_source=Yahoo chart API,2026-07-07
7011.T,三菱重工,重工,13224699000000,97591743083,local_readonly:kabu_publish\199_universe100_screening.csv; original_metric_source=Yahoo Japan snapshot in seed; liquidity_source=Yahoo chart API,2026-07-07
6594.T,ニデック,モーター,3117375000000,18414718640,local_readonly:kabu_publish\199_universe100_screening.csv; original_metric_source=Yahoo Japan snapshot in seed; liquidity_source=Yahoo chart API,2026-07-07
7269.T,スズキ,自動車,3506787000000,15208812322,local_readonly:kabu_publish\199_universe100_screening.csv; original_metric_source=Yahoo Japan snapshot in seed; liquidity_source=Yahoo chart API,2026-07-07
6701.T,NEC,IT,5672549000000,35226285023,local_readonly:kabu_publish\199_universe100_screening.csv; original_metric_source=Yahoo Japan snapshot in seed; liquidity_source=Yahoo chart API,2026-07-07
9433.T,KDDI,通信,11499829000000,25327385685,local_readonly:kabu_publish\199_universe100_screening.csv; original_metric_source=Yahoo Japan snapshot in seed; liquidity_source=Yahoo chart API,2026-07-07
7013.T,IHI,重工,2844410000000,53306458851,local_readonly:kabu_publish\199_universe100_screening.csv; original_metric_source=Yahoo Japan snapshot in seed; liquidity_source=Yahoo chart API,2026-07-07
8058.T,三菱商事,商社,20129618000000,55664047548,local_readonly:kabu_publish\199_universe100_screening.csv; original_metric_source=Yahoo Japan snapshot in seed; liquidity_source=Yahoo chart API,2026-07-07
8031.T,三井物産,商社,16311411000000,36014243293,local_readonly:kabu_publish\199_universe100_screening.csv; original_metric_source=Yahoo Japan snapshot in seed; liquidity_source=Yahoo chart API,2026-07-07
9432.T,NTT,通信,13962859000000,34623087049,local_readonly:kabu_publish\199_universe100_screening.csv; original_metric_source=Yahoo Japan snapshot in seed; liquidity_source=Yahoo chart API,2026-07-07
6301.T,コマツ,建機,5848121000000,25849526748,local_readonly:kabu_publish\199_universe100_screening.csv; original_metric_source=Yahoo Japan snapshot in seed; liquidity_source=Yahoo chart API,2026-07-07
8001.T,伊藤忠商事,商社,15452673000000,28885196371,local_readonly:kabu_publish\199_universe100_screening.csv; original_metric_source=Yahoo Japan snapshot in seed; liquidity_source=Yahoo chart API,2026-07-07
6758.T,ソニーグループ,エンタメ,21881026000000,74801966433,local_readonly:kabu_publish\199_universe100_screening.csv; original_metric_source=Yahoo Japan snapshot in seed; liquidity_source=Yahoo chart API,2026-07-07
5108.T,ブリヂストン,タイヤ,4465022000000,13944813548,local_readonly:kabu_publish\199_universe100_screening.csv; original_metric_source=Yahoo Japan snapshot in seed; liquidity_source=Yahoo chart API,2026-07-07
7974.T,任天堂,ゲーム,9429180000000,79133636408,local_readonly:kabu_publish\199_universe100_screening.csv; original_metric_source=Yahoo Japan snapshot in seed; liquidity_source=Yahoo chart API,2026-07-07
6273.T,SMC,FA,4100413000000,26735640850,local_readonly:kabu_publish\199_universe100_screening.csv; original_metric_source=Yahoo Japan snapshot in seed; liquidity_source=Yahoo chart API,2026-07-07
6326.T,クボタ,機械,3099018000000,11650061135,local_readonly:kabu_publish\199_universe100_screening.csv; original_metric_source=Yahoo Japan snapshot in seed; liquidity_source=Yahoo chart API,2026-07-07
7202.T,いすゞ自動車,商用車,1518353000000,6520937124,local_readonly:kabu_publish\199_universe100_screening.csv; original_metric_source=Yahoo Japan snapshot in seed; liquidity_source=Yahoo chart API,2026-07-07
7203.T,トヨタ自動車,自動車,47227013000000,77799662752,local_readonly:kabu_publish\199_universe100_screening.csv; original_metric_source=Yahoo Japan snapshot in seed; liquidity_source=Yahoo chart API,2026-07-07
6526.T,ソシオネクスト,半導体,476827000000,25156394324,local_readonly:kabu_publish\199_universe100_screening.csv; original_metric_source=Yahoo Japan snapshot in seed; liquidity_source=Yahoo chart API,2026-07-07
6201.T,豊田自動織機,機械,6676475000000,70478880000,local_readonly:kabu_publish\199_universe100_screening.csv; original_metric_source=Yahoo Japan snapshot in seed; liquidity_source=Yahoo chart API,2026-07-07
7267.T,ホンダ,自動車,6246474000000,27785376606,local_readonly:kabu_publish\199_universe100_screening.csv; original_metric_source=Yahoo Japan snapshot in seed; liquidity_source=Yahoo chart API,2026-07-07
7270.T,SUBARU,自動車,1781143000000,11209408397,local_readonly:kabu_publish\199_universe100_screening.csv; original_metric_source=Yahoo Japan snapshot in seed; liquidity_source=Yahoo chart API,2026-07-07
6723.T,ルネサス,半導体,7271080000000,72876231015,local_readonly:kabu_publish\199_universe100_screening.csv; original_metric_source=Yahoo Japan snapshot in seed; liquidity_source=Yahoo chart API,2026-07-07
